Computer#1	Computer#2	Connection time  (in seconds)
0	2	1
0	29	1
0	49	1
0	64	1
0	70	1
0	77	1
0	90	1
0	97	1
1	24	1
1	32	1
1	71	1
1	86	1
1	91	1
2	27	1
2	59	1
2	66	1
3	21	1
3	34	1
3	53	1
3	61	1
3	63	1
3	68	1
3	71	1
3	92	1
4	16	1
4	42	1
4	47	1
4	52	1
4	64	1
4	84	1
5	8	1
5	37	1
5	72	1
6	16	1
6	80	1
7	19	1
7	69	1
7	74	1
7	95	1
7	96	1
8	30	1
8	39	1
8	47	1
8	48	1
8	80	1
9	12	1
9	24	1
9	39	1
9	47	1
9	70	1
10	18	1
10	26	1
10	28	1
11	19	1
11	35	1
11	58	1
12	21	1
12	26	1
12	44	1
12	72	1
12	74	1
12	92	1
13	30	1
13	64	1
13	76	1
13	83	1
13	84	1
14	20	1
14	25	1
14	28	1
14	63	1
14	69	1
14	71	1
14	76	1
14	99	1
15	23	1
15	28	1
15	30	1
15	66	1
15	81	1
15	99	1
16	59	1
16	88	1
16	92	1
17	20	1
17	21	1
17	26	1
17	60	1
17	66	1
17	80	1
17	92	1
18	31	1
18	37	1
18	97	1
18	98	1
19	35	1
19	40	1
19	75	1
19	85	1
19	92	1
20	41	1
20	46	1
20	49	1
20	56	1
20	79	1
20	84	1
21	33	1
21	76	1
22	50	1
22	57	1
22	64	1
22	68	1
22	94	1
23	26	1
23	45	1
23	47	1
23	75	1
23	81	1
24	39	1
24	41	1
24	46	1
24	51	1
24	74	1
24	89	1
25	75	1
25	84	1
25	91	1
26	45	1
26	49	1
27	38	1
27	43	1
27	69	1
27	76	1
27	96	1
28	44	1
28	48	1
28	54	1
29	37	1
29	43	1
29	52	1
29	76	1
29	91	1
30	48	1
30	52	1
30	53	1
30	57	1
30	61	1
30	62	1
30	75	1
30	82	1
30	85	1
30	97	1
31	32	1
31	63	1
31	65	1
31	91	1
32	37	1
32	50	1
32	72	1
32	94	1
33	83	1
34	41	1
34	52	1
34	92	1
35	44	1
35	49	1
35	85	1
36	67	1
36	85	1
37	79	1
38	39	1
38	40	1
38	51	1
38	63	1
38	64	1
38	76	1
38	87	1
38	89	1
39	64	1
39	67	1
39	74	1
39	84	1
40	46	1
40	61	1
40	93	1
40	94	1
40	99	1
41	55	1
41	57	1
41	59	1
41	69	1
42	47	1
42	55	1
42	79	1
43	91	1
43	96	1
44	60	1
44	66	1
46	65	1
46	76	1
46	77	1
46	94	1
47	65	1
47	76	1
47	84	1
47	85	1
48	53	1
48	67	1
48	88	1
48	97	1
49	60	1
49	68	1
49	72	1
49	98	1
50	52	1
50	86	1
51	55	1
52	61	1
53	56	1
54	77	1
54	82	1
55	72	1
55	81	1
55	96	1
55	99	1
56	68	1
57	94	1
58	66	1
58	75	1
58	86	1
59	88	1
60	79	1
61	72	1
61	99	1
63	66	1
63	74	1
64	73	1
66	99	1
67	81	1
68	81	1
68	92	1
68	93	1
69	98	1
70	71	1
70	93	1
70	94	1
70	96	1
71	89	1
72	93	1
72	99	1
73	80	1
73	96	1
74	78	1
74	80	1
74	92	1
75	85	1
76	88	1
80	87	1
87	89	1
90	91	1
93	94	1
0	12	11
0	21	11
0	51	11
0	72	11
0	93	11
1	36	11
1	48	11
1	75	11
1	87	11
2	32	11
2	38	11
2	46	11
2	64	11
2	78	11
3	6	11
3	38	11
3	42	11
3	58	11
3	86	11
3	97	11
4	17	11
4	27	11
4	40	11
4	65	11
4	76	11
4	87	11
5	14	11
5	24	11
5	25	11
5	31	11
5	49	11
5	80	11
5	89	11
6	29	11
6	48	11
7	10	11
7	24	11
7	25	11
7	55	11
7	65	11
7	70	11
7	75	11
7	97	11
8	28	11
9	14	11
9	35	11
9	69	11
9	84	11
10	11	11
10	19	11
10	21	11
10	33	11
10	41	11
10	43	11
10	46	11
10	58	11
10	59	11
10	72	11
11	85	11
12	18	11
12	22	11
12	31	11
12	42	11
12	52	11
12	53	11
12	83	11
12	99	11
13	16	11
13	29	11
13	53	11
13	57	11
13	59	11
13	65	11
14	42	11
14	56	11
14	59	11
14	89	11
15	31	11
15	44	11
15	71	11
15	75	11
16	55	11
16	84	11
17	40	11
17	84	11
18	23	11
18	26	11
18	34	11
18	42	11
18	50	11
18	62	11
18	86	11
18	89	11
19	50	11
19	60	11
19	68	11
19	94	11
20	24	11
20	28	11
20	44	11
20	61	11
21	23	11
21	44	11
21	47	11
21	60	11
21	61	11
21	64	11
21	78	11
21	90	11
22	70	11
23	31	11
23	33	11
23	41	11
23	44	11
23	46	11
23	51	11
23	90	11
24	54	11
24	70	11
25	31	11
25	41	11
25	51	11
25	61	11
25	68	11
25	73	11
25	77	11
25	81	11
25	87	11
26	31	11
26	46	11
26	63	11
26	77	11
26	78	11
26	86	11
27	28	11
27	33	11
27	99	11
28	33	11
28	41	11
28	58	11
28	59	11
28	61	11
29	68	11
29	80	11
30	31	11
30	34	11
30	35	11
30	91	11
31	83	11
32	47	11
32	53	11
32	59	11
33	68	11
33	71	11
34	36	11
34	46	11
34	71	11
34	75	11
35	45	11
35	60	11
35	61	11
35	69	11
36	58	11
36	91	11
37	41	11
37	54	11
37	57	11
37	91	11
38	48	11
39	94	11
40	92	11
41	46	11
41	75	11
